T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Antigorite,Talc,Magnesite,Chlorite,Orthopyroxene,Olivine,"q,tc-ds633","cor,tc-ds633","mt,tc-ds633","hem,tc-ds633"
573.15,20,3053.22890443472,1287.10716807682,-384293.198448776,0.0475008233838546,9.52683405907582e-06,0.183547894612524,0.163066618982834,0.00383373590655332,0.0303020477653698,0,0.430070923175322,0.310822091649966,0.129470308003348,0,0,0.0578929909543455,0,0,0.041441638451649
573.15,21,3053.22890443472,1287.10716807682,-384293.198448776,0.0475008233838546,9.52683405907582e-06,0.183547894612524,0.163066618982834,0.00383373590655332,0.0303020477653698,0,0.430070923175322,0.310822091649966,0.129470308003348,0,0,0.0578929909543455,0,0,0.041441638451649
573.15,22,3049.97005328134,1287.10720944095,-384260.29995072,0.0514774307543713,9.59287316520113e-06,0.180828331165735,0.160650519265027,0.00351591635739961,0.0298176202647337,0,0.371396881265334,0.338980657630832,0.127536677877075,0,0,0.0914841276139363,0,0,0.040784035348089
573.15,23,3049.97005328134,1287.10720944095,-384260.29995072,0.0514774307543713,9.59287316520113e-06,0.180828331165735,0.160650519265027,0.00351591635739961,0.0298176202647337,0,0.371396881265334,0.338980657630832,0.127536677877075,0,0,0.0914841276139363,0,0,0.040784035348089
573.15,24,3046.81343286454,1287.10724504228,-384232.133670215,0.0553379106998733,9.6497626003075e-06,0.178188131874191,0.158304927816965,0.00320740417105804,0.0293487940337653,0,0.314554108934722,0.366253680524096,0.125668705611886,0,0,0.124027740158596,0,0,0.0401469707369342
573.15,25,3046.81343286454,1287.10724504228,-384232.133670215,0.0553379106998733,9.6497626003075e-06,0.178188131874191,0.158304927816965,0.00320740417105804,0.0293487940337653,0,0.314554108934722,0.366253680524096,0.125668705611886,0,0,0.124027740158596,0,0,0.0401469707369342
573.15,26,3043.75423970198,1287.10727615034,-384207.713000568,0.0590872748052451,9.69938005571462e-06,0.175623880875412,0.156026809936742,0.00290779325397973,0.0288947611338192,0,0.259458374665375,0.392683072313682,0.123862464708877,0,0,0.155571829243476,0,0,0.0395294979347709
573.15,27,3043.75423970198,1287.10727615034,-384207.713000568,0.0590872748052451,9.69938005571462e-06,0.175623880875412,0.156026809936742,0.00290779325397973,0.0288947611338192,0,0.259458374665375,0.392683072313682,0.123862464708877,0,0,0.155571829243476,0,0,0.0395294979347709
573.15,28,3040.78797575087,1287.10730434101,-384185.620605131,0.0627302498045812,9.7444625995359e-06,0.173132353860589,0.153813301101517,0.0026167018485967,0.0284547838118052,0,0.206030453923444,0.418307947343673,0.122114515123784,0,0,0.186161572432643,0,0,0.0389307273646505
573.15,29,3040.78797575087,1287.10730434101,-384185.620605131,0.0627302498045812,9.7444625995359e-06,0.173132353860589,0.153813301101517,0.0026167018485967,0.0284547838118052,0,0.206030453923444,0.418307947343673,0.122114515123784,0,0,0.186161572432643,0,0,0.0389307273646505
573.15,30,3037.91048111135,1287.10732970636,-384165.865214457,0.0662713004080827,9.78496642489619e-06,0.170710505538071,0.151661695829902,0.00233376922501799,0.0280281846376188,0,0.154195971799181,0.443164930779508,0.12042162654421,0,0,0.215839463067987,0,0,0.0383498231714946
573.15,31,3037.91048111135,1287.10732970636,-384165.865214457,0.0662713004080827,9.78496642489619e-06,0.170710505538071,0.151661695829902,0.00233376922501799,0.0280281846376188,0,0.154195971799181,0.443164930779508,0.12042162654421,0,0,0.215839463067987,0,0,0.0383498231714946
573.15,32,3035.11776866622,1287.10735144306,-384148.988151396,0.0697146452040162,9.81970001863496e-06,0.168355455473592,0.149569435102201,0.00205865599538815,0.0276143314967225,0,0.103884681345293,0.46728837982112,0.118781011767751,0,0,0.244645598515853,0,0,0.0377859970532608
573.15,33,3035.11776866622,1287.10735144306,-384148.988151396,0.0697146452040162,9.81970001863496e-06,0.168355455473592,0.149569435102201,0.00205865599538815,0.0276143314967225,0,0.103884681345293,0.46728837982112,0.118781011767751,0,0,0.244645598515853,0,0,0.0377859970532608
573.15,34,3032.40614342267,1287.10737170405,-384133.310149305,0.0730642708261262,9.85207838594934e-06,0.16606448200075,0.147534100950403,0.00179104124435283,0.0272126445578639,0,0.0550305550788396,0.490710536259459,0.117190035125348,0,0,0.272617721334106,0,0,0.0372385076443833
573.15,35,3032.40614342267,1287.10737170405,-384133.310149305,0.0730642708261262,9.85207838594934e-06,0.16606448200075,0.147534100950403,0.00179104124435283,0.0272126445578639,0,0.0550305550788396,0.490710536259459,0.117190035125348,0,0,0.272617721334106,0,0,0.0372385076443833
573.15,36,3032.40614342267,1287.10737170405,-384133.310149305,0.0730642708261262,9.85207838594934e-06,0.16606448200075,0.147534100950403,0.00179104124435283,0.0272126445578639,0,0.0550305550788396,0.490710536259459,0.117190035125348,0,0,0.272617721334106,0,0,0.0372385076443833
573.15,37,3033.15798191476,1287.11581646763,-380024.588888138,0.0779687517903795,2.33428183941515e-05,0.162863277516096,0.144690104329863,0.00132525692752487,0.0266928454284339,0,0,0.525735872232611,0.102504914467788,0,0,0.308536647596218,0,0,0.0365297202749491
573.15,38,3038.78436920832,1287.11605191561,-379948.435583221,0.0796290852009811,2.37190319032155e-05,0.161953994291129,0.143882283888739,0.00108338426293564,0.0265928282978072,0,0,0.538546286681524,0.0833990902895638,0,0,0.31506864096134,0,0,0.0363931537697653
573.15,39,3044.36752994609,1287.1163162533,-379864.380917584,0.0812709533718123,2.41413254257789e-05,0.16105482357288,0.143083447545654,0.000844201562131433,0.0264935668634787,0,0,0.551261421457152,0.0644356842493384,0,0,0.321551734999652,0,0,0.0362575924303789
